Date,Open,High,Low,Close,Adj Close,Volume
2020-06-11,21084.699219,21244.449219,20458.300781,20525.150391,20525.150391,747100
2020-06-12,19529.300781,20747.699219,19526.099609,20654.550781,20654.550781,599200
2020-06-15,20457.150391,20470.849609,19740.199219,19912.900391,19912.900391,0
2020-06-16,20500.650391,20638.849609,19507.050781,20296.699219,20296.699219,0
2020-06-17,20137.449219,20627.900391,19978.150391,20201.750000,20201.750000,0
2020-06-18,20137.599609,21028.349609,20030.349609,20956.300781,20956.300781,0
2020-06-19,20970.099609,21467.650391,20878.250000,21338.099609,21338.099609,0
2020-06-22,21491.550781,22078.250000,21425.550781,21708.349609,21708.349609,664600
2020-06-23,21859.250000,22322.300781,21647.800781,22264.900391,22264.900391,527900
2020-06-24,22479.349609,22479.550781,21336.349609,21426.800781,21426.800781,684600
2020-06-25,21218.050781,21703.500000,20926.449219,21506.150391,21506.150391,586200
2020-06-26,21735.050781,21784.650391,21320.099609,21592.050781,21592.050781,375600
2020-06-29,21291.550781,21440.050781,21026.449219,21359.000000,21359.000000,328000
2020-06-30,21524.300781,21650.500000,21212.000000,21370.150391,21370.150391,292700
2020-07-01,21354.099609,22061.599609,21281.849609,21977.599609,21977.599609,386000
2020-07-02,22133.800781,22344.849609,21890.500000,21953.199219,21953.199219,399000
